chae_id,gaia_a,gaia_b,ra_a,dec_a,ra_b,dec_b,parallax_a,parallax_error_a,parallax_b,parallax_error_b,pmra_a,pmra_error_a,pmdec_a,pmdec_error_a,pmra_b,pmra_error_b,pmdec_b,pmdec_error_b,rv_diff,rv_sigma,gaia_rv_a,gaia_rv_err_a,gaia_rv_b,gaia_rv_err_b,mass_flame_a,mass_flame_a_err,mass_flame_b,mass_flame_b_err,mass_total_flame,ruwe_a,ruwe_b,phot_g_mean_mag_a,phot_g_mean_mag_b,bp_rp_a,bp_rp_b,d_M_pc,v_obs_over_vesc,v_obs_over_vesc_err,Gamma,Gamma_err_upper,Gamma_err_lower,rv_source,merits
1,2642922251741817216,2642922286101533952,356.03489077175095,0.34155438321663606,356.0122980736339,0.34388818024570583,17.848837726520962,0.01993614435195923,17.859385630893364,0.020243609324097633,-24.520490338054632,0.026036091148853302,-166.9607838372873,0.013996521942317486,-24.678231909514142,0.028941644355654716,-167.28780109472194,0.016187280416488647,-0.156,0.04,23.298521041870117,0.4528491497039795,22.795795440673828,0.47645336389541626,,,,,,1.1762269735336304,1.1773654222488403,12.055091857910156,12.21979808807373,2.0295591354370117,2.100557327270508,56.01,0.33,0.09,-0.342,0.255,0.162,APOGEE,4
3,3861880665230888960,3858878375716469120,158.02639812138318,5.246906197912406,158.06717482303108,5.2511153725596555,7.60588467992133,0.01830037124454975,7.626684260598044,0.019246192649006844,-49.53835995808687,0.02266196347773075,7.918047127810297,0.02287595346570015,-49.1259131739007,0.020991064608097076,8.34289210996922,0.020728565752506256,0.386,0.051,12.989327430725098,0.20170235633850098,12.461942672729492,0.2578991949558258,1.2647520303726196,0.04010087251663208,0.8598843216896057,0.040556639432907104,2.1246363520622253,1.025923490524292,0.9953147172927856,8.954462051391602,10.906282424926758,0.6122617721557617,0.9392070770263672,131.31,1.16,0.09,0.4,0.234,0.142,APOGEE,4
4,315289980082496000,315289980082496256,22.97906923689857,30.49782426204445,22.969157527957574,30.490518018049833,12.092682980456338,0.023452363908290863,12.037770806558461,0.022852206602692604,-19.83466848014754,0.02142554707825184,-5.995486573253637,0.016922129318118095,-20.385565165594095,0.021395739167928696,-6.242881517836334,0.016468506306409836,-0.869,0.061,12.537338256835938,0.3356923758983612,14.243964195251465,2.0729894638061523,,,,,,1.1791102886199951,1.0074423551559448,11.389699935913086,14.261958122253418,1.351853370666504,2.362826347351074,82.89,1.17,0.08,0.338,0.215,0.117,APOGEE,4
5,2627346157705716352,2627346535662838272,334.74696461630776,-4.158553195133067,334.752519991582,-4.157972143869372,6.7405702929119045,0.017005320638418198,6.7972482860325645,0.016341939568519592,-40.58279993364729,0.019185272976756096,-30.07107320379124,0.019277673214673996,-40.38491219380942,0.018282441422343254,-29.475374813092785,0.018262125551700592,0.145,0.057,22.60987663269043,0.6861050724983215,23.538455963134766,1.4509966373443604,0.817274808883667,0.04139658808708191,0.6793931722640991,0.040359675884246826,1.4966679811477661,0.8590912222862244,1.1504830121994019,11.508429527282715,13.272834777832031,1.0299482345581055,1.6363067626953125,147.7,0.53,0.08,-0.025,0.24,0.117,APOGEE,4
6,2581807955200716800,2581806619466249728,12.824934294629877,9.292063472840224,12.857006658918097,9.312613683602915,6.846759062452356,0.019935118034482002,6.8783970648001045,0.03364839404821396,-29.08418766666252,0.021587640047073364,-92.2346939301834,0.01725536771118641,-28.548504811239432,0.04030100256204605,-92.48709707509298,0.029595814645290375,-0.011,0.072,-3.1164956092834473,0.6915472745895386,,,0.7794000506401062,0.04001304507255554,,,,1.141326665878296,1.0202741622924805,12.340666770935059,14.951757431030273,1.2056083679199219,2.102179527282715,145.88,1.26,0.1,0.425,0.225,0.129,APOGEE,4
16,1240752559313435520,1240752559313476224,219.55269374330624,19.755207130111835,219.54419166380467,19.754609189561954,9.244475247572437,0.01960063725709915,9.238446676342386,0.026882607489824295,-32.74400421188007,0.01784052886068821,-15.524486751453761,0.018396710976958275,-33.73547924842062,0.02595413848757744,-15.499071086266301,0.030139757320284843,0.004,0.072,-18.453908920288086,0.5310875177383423,-19.577964782714844,3.1188912391662598,0.7391887307167053,0.04009297490119934,,,,1.146052360534668,1.0007973909378052,11.578686714172363,14.929832458496094,1.2424077987670898,2.4482316970825195,108.2,0.66,0.07,0.061,0.261,0.103,APOGEE,4
20,694284491350980864,694284628789933568,142.7300840641497,26.965298538048174,142.74358801349663,26.986209703569116,26.418273529205038,0.02026938833296299,26.435184089261302,0.019643746316432953,-140.44745801016427,0.022335566580295563,119.96356818439475,0.02066447027027607,-139.61050157812642,0.02275131456553936,121.69232364691707,0.022070420905947685,-0.276,0.1,-2.4964518547058105,0.20834903419017792,-2.7558953762054443,0.5114301443099976,,,,,,1.0149421691894531,1.137921690940857,10.474446296691895,13.211715698242188,1.6307945251464844,2.444148063659668,37.84,0.66,0.12,0.089,0.249,0.141,APOGEE,4
23,972821779152541824,972815560039899264,112.7351882354584,42.44620946127315,112.73188887903683,42.39731785449244,8.87148362463268,0.017089011147618294,8.825862476748675,0.015076225623488426,-36.60167511284418,0.015091311186552048,-64.27761991409892,0.010535171255469322,-36.4904871800219,0.015910914167761803,-63.93731587162066,0.010840192437171936,-0.16,0.048,64.97571563720703,0.9081047177314758,65.80331420898438,1.2872488498687744,,,,,,1.1145585775375366,1.0643244981765747,13.13507080078125,13.603734970092773,1.9142284393310547,2.119107246398926,113.05,0.65,0.15,0.063,0.277,0.159,APOGEE,4
24,1172915990414659328,1172920487244742912,218.89377746190107,8.01596062848263,218.81128641009215,8.114885470361198,18.709213855372315,0.018463963642716408,18.732122368083314,0.017822779715061188,-52.60727756898119,0.0179597120732069,-18.757234957925547,0.015107207000255585,-52.79476277799679,0.022856760770082474,-18.17826539074412,0.017592642456293106,0.043,0.033,-18.421737670898438,0.24815614521503448,-18.41535758972168,0.26071205735206604,0.8501821160316467,0.040020138025283813,0.7999736666679382,0.041052401065826416,1.650155782699585,1.079079508781433,1.0740889310836792,9.199075698852539,9.445853233337402,0.9766359329223633,1.0473442077636719,53.42,0.39,0.05,-0.172,0.234,0.113,APOGEE,1;2;4;5
26,3749791158495959552,3749791055416743552,160.45037587826522,-14.708517665016924,160.44643752329893,-14.724674325861736,14.294055532509379,0.023159166797995567,14.31605423751271,0.01870182901620865,68.25831831669136,0.031490933150053024,9.094953859924262,0.02743449993431568,68.39748449745598,0.024007081985473633,8.506915202411603,0.022815555334091187,0.383,0.073,1.0424119234085083,0.17209947109222412,0.6416106224060059,0.17666994035243988,0.9209889769554138,0.04353359341621399,0.896804690361023,0.04168814420700073,1.8177936673164368,1.0295591354370117,1.0260865688323975,9.0192289352417,9.285576820373535,0.868901252746582,0.9160470962524414,69.89,0.54,0.11,-0.064,0.26,0.148,LCO,2
